speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N
78.70953352,34.91695492,501.7833867,6.379290098,6.508880924,1,4.5,4628.206156,112,72.79394716,12.2302433,15.28780413,11.25539605,99.38424122,0,74.9337252,1,107.1408759,1.5,1.6,366.1003397,2.872503671,0.171212326,-175.1919162,-65.11232747,0,2955.230243
78.72859592,34.91776857,501.8011761,6.383989538,6.507897827,1,4.5,4629.327046,112,72.81157689,12.23616803,15.29521003,11.26797863,99.38394293,0,74.91483789,1,107.1408759,1.5,1.6,366.1143661,2.873899553,0.179656491,-175.173931,-65.1110327,0,2955.236168
78.74765083,34.91858201,501.8189654,6.388690881,6.506913482,1,4.5,4630.447495,112,72.82919968,12.24209185,15.30261482,11.28057765,99.38364468,0,74.89595059,1,107.1408759,1.5,1.6,366.1283961,2.875317486,0.182538627,-175.1559463,-65.10973354,0,2955.242092
78.76669825,34.91939526,501.8367547,6.393394126,6.505927889,1,4.5,4631.567504,112,72.84681555,12.24801478,15.31001848,11.29319311,99.38334648,0,74.87706329,1,107.1408759,1.5,1.6,366.1424297,2.876743079,0.183569268,-175.1379623,-65.10843,0,2955.248015
78.78573817,34.92020832,501.854544,6.398099276,6.504941046,1,4.5,4632.687072,112,72.86442448,12.25393681,15.31742102,11.30582505,99.38304832,0,74.85817599,1,107.1408759,1.5,1.6,366.1564668,2.878171531,0.183981902,-175.1199787,-65.10712207,0,2955.253937
78.80477059,34.92102117,501.8723334,6.40280633,6.503952951,1,4.5,4633.806199,112,72.88202648,12.25985794,15.32482243,11.31847348,99.38275021,0,74.83928869,1,107.1408759,1.5,1.6,366.1705076,2.879601237,0.184187792,-175.1019958,-65.10580976,0,2955.259858
78.82379553,34.92183383,501.8901227,6.40751529,6.502963602,1,4.5,4634.924886,112,72.89962156,12.26577817,15.33222272,11.33113843,99.38245214,0,74.82040139,1,107.1408759,1.5,1.6,366.1845519,2.881031665,0.18432543,-175.0840134,-65.10449305,0,2955.265778
78.84281298,34.9226463,501.907912,6.412226157,6.501972998,1,4.5,4636.043133,112,72.91720971,12.2716975,15.33962188,11.3438199,99.38215412,0,74.80151408,1,107.1408759,1.5,1.6,366.1985998,2.881901203,0.112076052,-175.0660316,-65.10317196,0,2955.271698
78.86182294,34.92345857,501.9257013,6.416938931,6.500981138,1,4.5,4637.160939,112,72.93479093,12.27761592,15.34701991,11.35651794,99.38185614,0,74.78262678,1,107.1408759,1.5,1.6,366.2126513,2.883870196,0.253847606,-175.0480504,-65.10184647,0,2955.277616
78.88082541,34.92427064,501.9434906,6.421653613,6.499988019,1,4.5,4638.278305,112,72.95236523,12.28353344,15.3544168,11.36923255,99.38155821,0,74.76373948,1,107.1408759,1.5,1.6,366.2266982,2.884917783,0.13509014,-175.0300697,-65.1005166,0,2955.283533
